id,Data,Country,Type,Frequency,Currency,Units,Date,Value
107099,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-03-01,19
107100,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-05-01,17
107101,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-07-01,14.333333333333332
107102,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-09-01,17
107103,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-11-01,19
107104,Volume,IN,Sovereign,Annual,INR,Billions,2013-01-01,2.8
107105,Volume,MX,Sovereign,Quarterly,MXN,Millions,2002-01-29,49432.75
107106,Volume,MX,Sovereign,Quarterly,MXN,Millions,2002-06-11,42202.07
107107,Volume,MX,Sovereign,Quarterly,MXN,Millions,2002-10-16,40012.91
107108,Volume,MX,Sovereign,Quarterly,MXN,Millions,2003-02-26,50580.27
107109,Volume,MX,Sovereign,Quarterly,MXN,Millions,2003-07-08,40347.01
107110,Volume,MX,Sovereign,Quarterly,MXN,Millions,2003-11-12,51381.52
107111,Volume,MX,Sovereign,Quarterly,MXN,Millions,2004-03-24,52027.84
107112,Volume,MX,Sovereign,Quarterly,MXN,Millions,2004-07-30,43610.17
107113,Volume,MX,Sovereign,Quarterly,MXN,Millions,2004-12-06,56773.61
107114,Volume,MX,Sovereign,Quarterly,MXN,Millions,2005-04-14,42738.4
107115,Volume,MX,Sovereign,Quarterly,MXN,Millions,2005-08-18,43550.09
107116,Volume,MX,Sovereign,Quarterly,MXN,Millions,2005-12-26,46535.18
107117,Volume,MX,Sovereign,Quarterly,MXN,Millions,2006-05-08,74455.97
107118,Volume,MX,Sovereign,Quarterly,MXN,Millions,2006-09-11,72663.24
107119,Volume,MX,Sovereign,Quarterly,MXN,Millions,2007-01-23,80155.44
107120,Volume,MX,Sovereign,Quarterly,MXN,Millions,2007-06-05,96938.22
107121,Volume,MX,Sovereign,Quarterly,MXN,Millions,2007-10-09,99302.19
107122,Volume,MX,Sovereign,Quarterly,MXN,Millions,2008-02-20,113993.03
107123,Volume,MX,Sovereign,Quarterly,MXN,Millions,2008-07-01,98721.9
107124,Volume,MX,Sovereign,Quarterly,MXN,Millions,2008-11-05,73428.67
107125,Volume,MX,Sovereign,Quarterly,MXN,Millions,2009-03-20,49011.69
107126,Volume,MX,Sovereign,Quarterly,MXN,Millions,2009-07-29,44033.29
107127,Volume,MX,Sovereign,Quarterly,MXN,Millions,2009-12-07,47130.57
107128,Volume,MX,Sovereign,Quarterly,MXN,Millions,2010-04-20,71588.15
107129,Volume,MX,Sovereign,Quarterly,MXN,Millions,2010-08-24,70800.35
107130,Volume,MX,Sovereign,Quarterly,MXN,Millions,2011-01-03,82439.63
107131,Volume,MX,Sovereign,Quarterly,MXN,Millions,2011-05-13,81131.81
107132,Volume,MX,Sovereign,Quarterly,MXN,Millions,2011-09-20,99846.6
107133,Volume,MX,Sovereign,Quarterly,MXN,Millions,2012-01-27,102101.03
107134,Volume,MX,Sovereign,Quarterly,MXN,Millions,2012-06-08,85839.38
107135,Volume,MX,Sovereign,Quarterly,MXN,Millions,2012-10-12,99547.88
107136,Volume,MX,Sovereign,Quarterly,MXN,Millions,2013-02-25,95731.21
107137,Volume,MX,Sovereign,Quarterly,MXN,Millions,2013-07-05,110726.51
107138,Volume,MX,Sovereign,Quarterly,MXN,Millions,2013-11-11,107187.26
107139,Volume,MX,Sovereign,Quarterly,MXN,Millions,2014-03-25,112849.95
107140,Volume,AU,Sovereign,Annual,AUD,Millions,2014-01-01,1924.688
107141,Volume,AU,Sovereign,Annual,AUD,Millions,2015-01-01,2410.132
107142,Volume,AU,Sovereign,Annual,AUD,Millions,2016-01-01,4863.104
107143,Volume,AU,Sovereign,Annual,AUD,Millions,2014-01-01,123444.716
107144,Volume,AU,Sovereign,Annual,AUD,Millions,2015-01-01,114575.768
107145,Volume,AU,Sovereign,Annual,AUD,Millions,2016-01-01,82985.94
107146,Volume,SG,Sovereign,Quarterly,SGD,Billions,2005-03-01,0.21447999999999998
107147,Volume,SG,Sovereign,Quarterly,SGD,Billions,2005-06-01,0.20092
107148,Volume,SG,Sovereign,Quarterly,SGD,Billions,2005-09-01,0.26268
107149,Volume,SG,Sovereign,Quarterly,SGD,Billions,2005-12-01,0.19852
107150,Volume,SG,Sovereign,Quarterly,SGD,Billions,2006-03-01,0.18747999999999998
107151,Volume,SG,Sovereign,Quarterly,SGD,Billions,2006-06-01,0.20092
107152,Volume,SG,Sovereign,Quarterly,SGD,Billions,2006-09-01,0.26268
107153,Volume,SG,Sovereign,Quarterly,SGD,Billions,2006-12-01,0.19852
107154,Volume,SG,Sovereign,Quarterly,SGD,Billions,2007-03-01,0.27556
107155,Volume,SG,Sovereign,Quarterly,SGD,Billions,2007-06-01,0.30816000000000004
107156,Volume,SG,Sovereign,Quarterly,SGD,Billions,2007-09-01,0.28987999999999997
107157,Volume,SG,Sovereign,Quarterly,SGD,Billions,2007-12-01,0.22491999999999998
107158,Volume,SG,Sovereign,Quarterly,SGD,Billions,2008-03-01,0.39204
107159,Volume,SG,Sovereign,Quarterly,SGD,Billions,2008-06-01,0.4706
107160,Volume,SG,Sovereign,Quarterly,SGD,Billions,2008-09-01,0.3498
107161,Volume,SG,Sovereign,Quarterly,SGD,Billions,2008-12-01,0.41664
107162,Volume,SG,Sovereign,Quarterly,SGD,Billions,2009-03-01,0.38548000000000004
107163,Volume,SG,Sovereign,Quarterly,SGD,Billions,2009-06-01,0.30224
107164,Volume,SG,Sovereign,Quarterly,SGD,Billions,2009-09-01,0.26304
107165,Volume,SG,Sovereign,Quarterly,SGD,Billions,2009-12-01,0.23456
107166,Volume,SG,Sovereign,Quarterly,SGD,Billions,2010-03-01,0.26195999999999997
107167,Volume,SG,Sovereign,Quarterly,SGD,Billions,2010-06-01,0.45124000000000003
107168,Volume,SG,Sovereign,Quarterly,SGD,Billions,2010-09-01,0.5174
107169,Volume,SG,Sovereign,Quarterly,SGD,Billions,2010-12-01,0.42363999999999996
107170,Volume,SG,Sovereign,Quarterly,SGD,Billions,2011-03-01,0.38644
107171,Volume,SG,Sovereign,Quarterly,SGD,Billions,2011-06-01,0.36028
107172,Volume,SG,Sovereign,Quarterly,SGD,Billions,2011-09-01,0.55832
107173,Volume,SG,Sovereign,Quarterly,SGD,Billions,2011-12-01,0.32032
107174,Volume,SG,Sovereign,Quarterly,SGD,Billions,2012-03-01,0.3384
107175,Volume,SG,Sovereign,Quarterly,SGD,Billions,2012-06-01,0.38536000000000004
107176,Volume,SG,Sovereign,Quarterly,SGD,Billions,2012-09-01,0.36375999999999997
107177,Volume,SG,Sovereign,Quarterly,SGD,Billions,2012-12-01,0.24475999999999998
107178,Volume,SG,Sovereign,Quarterly,SGD,Billions,2013-03-01,0.33836
107179,Volume,SG,Sovereign,Quarterly,SGD,Billions,2013-06-01,0.40016
107180,Volume,SG,Sovereign,Quarterly,SGD,Billions,2013-09-01,0.3432
107181,Volume,SG,Sovereign,Quarterly,SGD,Billions,2013-12-01,0.25044
107182,Volume,SG,Sovereign,Quarterly,SGD,Billions,2014-03-01,0.19876
107183,Volume,SG,Sovereign,Quarterly,SGD,Billions,2014-06-01,0.17808000000000002
107184,Volume,SG,Sovereign,Quarterly,SGD,Billions,2014-09-01,0.18852000000000002
107185,Volume,SG,Sovereign,Quarterly,SGD,Billions,2014-12-01,0.1856
107186,Volume,SG,Sovereign,Quarterly,SGD,Billions,2015-03-01,0.256
107187,Volume,SG,Sovereign,Quarterly,SGD,Billions,2015-06-01,0.21936000000000003
107188,Volume,SG,Sovereign,Quarterly,SGD,Billions,2015-09-01,0.20808000000000001
107189,Volume,SG,Sovereign,Quarterly,SGD,Billions,2015-12-01,0.19640000000000002
107190,Volume,SG,Sovereign,Quarterly,SGD,Billions,2016-03-01,0.20552
107191,Volume,SG,Sovereign,Quarterly,SGD,Billions,2016-06-01,0.21512
107192,Volume,SG,Sovereign,Quarterly,SGD,Billions,2016-09-01,0.23652
107193,Volume,SG,Sovereign,Quarterly,SGD,Billions,2016-12-01,0.23063999999999998
107194,Volume,SG,Sovereign,Quarterly,SGD,Billions,2017-03-01,0.24596
107195,Volume,SG,Sovereign,Quarterly,SGD,Billions,2017-06-01,0.21359999999999998
107196,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-01-01,187.24479200000002
107197,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-02-01,162.47117200000002
107198,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-03-01,189.047128
107199,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-04-01,186.6562
107200,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-05-01,190.36153399999998
107201,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-06-01,175.75771799999998
107202,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-07-01,223.80685200000002
107203,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-08-01,227.84120919999998
107204,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-09-01,195.24728399999998
107205,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-10-01,269.63223999999997
107206,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-11-01,180.91382799999997
107207,Volume,NZ,Sovereign,Monthly,NZD,Millions,1996-12-01,150.588336
107208,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-01-01,156.78982000000002
107209,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-02-01,157.074364
107210,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-03-01,142.871604
107211,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-04-01,226.88533600000002
107212,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-05-01,286.166638
107213,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-06-01,240.899306
107214,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-07-01,315.71781999999996
107215,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-08-01,215.51039799999998
107216,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-09-01,243.34456
107217,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-10-01,248.80316440000001
107218,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-11-01,178.37706
107219,Volume,NZ,Sovereign,Monthly,NZD,Millions,1997-12-01,214.354952
107220,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-01-01,176.709078
107221,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-02-01,212.137692
107222,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-03-01,237.407912
107223,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-04-01,266.74604
107224,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-05-01,231.51813199999998
107225,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-06-01,299.451758
107226,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-07-01,275.560768
107227,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-08-01,270.44901600000003
107228,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-09-01,335.808404
107229,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-10-01,273.43910800000003
107230,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-11-01,203.379256
107231,Volume,NZ,Sovereign,Monthly,NZD,Millions,1998-12-01,201.30943599999998
107232,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-01-01,201.509676
107233,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-02-01,253.67802
107234,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-03-01,302.59088800000006
107235,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-04-01,202.07724
107236,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-05-01,257.34736
107237,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-06-01,278.699162
107238,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-07-01,239.404256
107239,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-08-01,252.362184
107240,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-09-01,288.995962
107241,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-10-01,292.949304
107242,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-11-01,268.239204
107243,Volume,NZ,Sovereign,Monthly,NZD,Millions,1999-12-01,188.93360800000002
107244,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-01-01,233.74471000000003
107245,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-02-01,338.260756
107246,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-03-01,261.1426
